"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","TOTAL_COMMUTERS_OD","CBD_DEPENDENCY_RATE"
2021,118021567,"Maroubra - South",1552,4779,0.3247541326637371835111948106298388784264
2021,118021568,"Maroubra - West",1551,4832,0.3209850993377483443708609271523178807947
2021,122021421,"Bayview - Elanora Heights",578,4836,0.1195202646815550041356492969396195202647
2021,119031664,"Hurstville - Central",1553,5636,0.2755500354861603974449964513839602555004
2021,127021520,"St Johns Park - Wakeley",402,3420,0.1175438596491228070175438596491228070175
2016,113031271,"Wagga Wagga Region",9,6604,0.001362810417928528164748637189582071471835
2016,127021520,"St Johns Park - Wakeley",431,4051,0.1063934830905949148358430017279684028635
2016,105031105,"Narromine",0,2473,0
2016,118011340,"Bondi Beach - North Bondi",5434,11331,0.4795693230959315153119759950578060188862
2021,123011698,"Currans Hill",215,3095,0.0694668820678513731825525040387722132472
2021,125031716,"South Wentworthville",301,2539,0.1185506104765655769988184324537219377708
2016,102011028,"Avoca Beach - Copacabana",179,3313,0.0540295804406881980078478720193178388168
2016,120011386,"Five Dock - Abbotsford",3174,9894,0.320800485142510612492419648271679805943
2016,125011473,"Homebush Bay - Silverwater",1916,8642,0.2217079379773200647998148576718352233279
2016,126021498,"Gladesville - Huntleys Point",1976,7015,0.2816821097647897362794012829650748396294
2016,128021537,"Royal National Park",0,9,0
2021,102011042,"Woy Woy - Blackwall",561,5163,0.1086577571179546775130737943056362579895
2021,106041127,"Muswellbrook Surrounds",0,1949,0
2021,108021157,"Macksville - Scotts Head",6,1594,0.003764115432873274780426599749058971141782
2021,111031223,"Beresfield - Hexham",10,3309,0.003022061045633121789060139014808099123602
2021,111031227,"Mayfield - Warabrook",73,7326,0.009964509964509964509964509964509964509965
2021,119011355,"Chullora",119,595,0.2
2021,115041624,"North Kellyville",1358,8467,0.1603873863233730955474193929372859336247
2021,121041416,"Neutral Bay - Kirribilli",3921,9596,0.4086077532305127136306794497707378074198
2016,101041022,"Deua - Wadbilliga",0,3,0
2016,122031432,"Terrey Hills - Duffys Forest",222,1653,0.1343012704174228675136116152450090744102
2021,101031016,"Jindabyne - Berridale",42,4233,0.009922041105598866052445074415308291991495
2021,108031161,"Lord Howe Island",0,216,0
2021,118021652,"Malabar - La Perouse",1055,4074,0.2589592538046146293568973981345115365734
2011,102011032,"Gosford - Springfield",0,5110,0
