"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","CBD_DEPENDENCY_RATE","PT_SHARE","WFH_SHARE","MIXED_SHARE","TOTAL_COMMUTERS","CBD_GROWTH_RATE_16_21","BUS_CANDIDATE_SCORE"
2021,121031407,"Gordon - Killara",2955,0.2906176239181746656176239181746656176239,0.0529850746268656716417910447761194029851,0.6103411513859275053304904051172707889126,0.008422174840085287846481876332622601279318,9380,0.0640979474252790781418797263233705437523,0.409227209187943502578258002255604275055
2021,120011386,"Five Dock - Abbotsford",3122,0.3094152626362735381565906838453914767096,0.0344017094017094017094017094017094017094,0.5394230769230769230769230769230769230769,0.00438034188034188034188034188034188034188,9360,-0.0163831127914303717706364209199747952111,0.4074995546088520949877204250618072172345
2021,128021538,"Sutherland - Kirrawee",2719,0.2340132541526809536104656166623633703417,0.0563684111798912024010504595760645282311,0.4471956480960420183830425811292440442694,0.006190208216094541361845807540799099606078,10662,0.1395641240569991617770326906957250628667,0.4067419563280672675645248164491375859966
2021,119041671,"Wolli Creek",2942,0.4816633922724296005239030779305828421742,0.2108060230292294065544729849424269264836,0.5062887511071744906997342781222320637733,0.0132860938883968113374667847652790079717,5645,0,0.4060531622685488776149064883161257605026
2021,120021387,"Balmain",3694,0.460943349139006738208135762415772398303,0.0440651052004763795156808257244938467646,0.6796347757046447002778880508138150059547,0.000926293502712716686515813153367738520577,7557,-0.0258438818565400843881856540084388185654,0.4037161880129520963541712248027127147201
2021,125041589,"Wentworthville - Westmead",2206,0.2334391534391534391534391534391534391534,0.1040998625744388456252863032524049473202,0.5012597343105817682088868529546495648191,0.009848831882730187814933577645442052221713,8732,0.6724791508718726307808946171341925701289,0.4032797957517718471307544772486060912479
2021,119041381,"Rockdale - Banksia",2652,0.2844883072302081098476721733533576485733,0.2101389053781313071352249792235545530096,0.3207883177015315208358067196960702837469,0.0123471447227828564644425976492936008548,8423,-0.1447920025798129635601418897129958078039,0.4012246651464505264371257663388862040121
2021,121011399,"Chatswood (West) - Lane Cove North",3312,0.2984859408795962509012256669069935111752,0.065668428263848111176355451164611469955,0.5941475826972010178117048346055979643766,0.003523194362889019377568995889606576629477,10218,-0.0195381882770870337477797513321492007105,0.4010718233083158984514794509979182342566
2021,126021500,"Macquarie Park - Marsfield",2656,0.2261580381471389645776566757493188010899,0.0869727859347236509866267651734779762461,0.5536332179930795847750865051903114186851,0.008136163845506406060039278032357617132704,10693,0.2837119381343644272595456742387626872885,0.4008641971104935780241573979026215082276
2021,127011505,"Austral - Greendale",452,0.0911841839822473270123058301391970950171,0.0260170293282876064333017975402081362346,0.3770104068117313150425733207190160832545,0.00851466414380321665089877010406811731315,4228,2.22857142857142857142857142857142857143,0.4005605036968742066494165827330217660924
