"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","WFH_COMMUTERS","TOTAL_COMMUTERS","WFH_RATE"
2021,113031264,"Gundagai",204,1492,0.1367292225201072386058981233243967828418
2021,113031267,"Wagga Wagga - East",673,7462,0.0901902975073706781023854194585901902975
2021,113031268,"Wagga Wagga - North",243,2606,0.0932463545663852647735993860322333077513
2021,114011281,"Tomerong - Wandandian - Woollamia",214,1503,0.1423819028609447771124417831004657351963
2021,114011282,"Ulladulla",822,5650,0.1454867256637168141592920353982300884956
2021,114011283,"Ulladulla Surrounds",427,1924,0.2219334719334719334719334719334719334719
2021,114021285,"Hill Top - Colo Vale",539,2900,0.1858620689655172413793103448275862068966
2021,115011291,"Baulkham Hills (West) - Bella Vista",4892,9504,0.5147306397306397306397306397306397306397
2021,115011555,"Castle Hill - North",2667,5041,0.5290616941083118428883158103550882761357
2021,116011303,"Blacktown (East) - Kings Park",2032,6478,0.3136770608212411238036430997221364618709
2021,116021629,"Marsden Park - Shanes Park",3055,6567,0.4652048119384802801888229023907415867215
2021,116021632,"Schofields - East",5873,11137,0.5273412947831552482715273412947831552483
2021,117011325,"Sydney Airport",3,10,0.3
2021,117031330,"Erskineville - Alexandria",8229,12139,0.6778976851470467089546091111294175797018
2021,117031331,"Glebe - Forest Lodge",6411,10166,0.6306315168207751327955931536494196340744
2021,121021403,"Asquith - Mount Colah",4957,10113,0.4901611786809057648571146049639078413923
2021,121031409,"Pymble",4743,7516,0.6310537519957424161788185204896221394359
2021,121031410,"St Ives",5336,8766,0.6087154916723705224731918777093315080995
2021,121031411,"Turramurra",5179,8233,0.6290538078464715170654682375804688448925
2021,122021420,"Avalon - Palm Beach",2601,5328,0.4881756756756756756756756756756756756757
2021,122021421,"Bayview - Elanora Heights",2248,4573,0.4915810190247102558495517165974196369998
2021,122031424,"Beacon Hill - Narraweena",2585,6123,0.4221786705863138984158092438347215417279
2021,123021443,"Minto - St Andrews",2015,7251,0.2778927044545579920011032960970900565439
2021,124031459,"Emu Plains - Leonay",2219,5825,0.380944206008583690987124463519313304721
2021,124031460,"Glenmore Park - Regentville",3398,9675,0.3512144702842377260981912144702842377261
2021,124031708,"Jordan Springs - Llandilo",1960,5833,0.336019201097205554603120178295902623007
2021,125011586,"Lidcombe",2726,7884,0.3457635717909690512430238457635717909691
